text,true_label,predicted_label,prediction_confidence,match_count,total_score,pos_votes,neg_votes,neu_votes,invalid_votes,matched_terms
Hook換防塵衣我真的要笑瘋 哈哈哈哈哈還有學測倒數六千天的部分我也跟我女兒說過 叫他現在不要這麼愛哭 以後長大還會有更多事讓他想哭 要上學補習工作賺錢 我女兒聽著聽著直接皺眉閉眼 啊 而且CC的兒子跟我女兒一樣大欸,positive,positive,0.618754,11,0.618754,10,2,8,0,哈哈 | 哈哈 | 還有 | 不要 | 長大 | 還會有 | 更多 | 賺錢 | 直接 | 皺眉 | 一樣
​@helloiamhook疑????,neutral,neutral,0.0,0,0.0,0,0,0,0,
"謝謝台客,讓我注意到很多社會議題像淨灘、菸蒂...也跟著台客一起參與了幾次淨灘活動。無論頻道怎麼改變,只要是對社會有益處,我都無限支持。",positive,positive,1.0,11,1.675661,16,1,5,0,謝謝 | 注意 | 很多 | 參與 | 無論 | 改變 | 只要 | 會有 | 益處 | 無限 | 支持
"事實證明,很多人真的會被新聞帶風向,然後不去了解背後的原由,也代表淪為政治操弄的多數人;換言之,台灣今天被冠了莫須有的罪,他國人民不也會貼我們標籤,念書卻無腦...... 第二,非洲不是國家,沒記錯超過50個國家,以偏概全真的挺不好的,起碼埃及、南非、衣索比亞、肯亞知道吧,難怪坦尚尼亞、甘比亞等留學生來台被問到無言。 我有兩個本國朋友在柬埔寨從事飯店、銀行工作,在首都金邊,年初也帶家人去那裡玩,沒什麼問題,頂多飲食不適應而已;柬埔寨跟片中6:50的先生所言的哥倫比亞一樣,犯罪集團通常會在某區,你不會進去也不可能進去,你不去踩線、人家也不想鳥你浪費資源,另類的安全。",negative,negative,0.455882,35,-0.402088,20,16,31,1,事實證明 | 很多 | 不去 | 了解 | 原由 | 代表 | 淪為 | 操弄 | 多數 | 天被 | 也會 | 不是 | 超過 | 以偏概全 | 不好 | 知道 | 難怪 | 問到 | 從事 | 沒什麼 | 問題 | 不適 | 而已 | 一樣 | 犯罪 | 通常 | 會在 | 不會 | 也不 | 可能 | 不去 | 也不 | 浪費 | 資源 | 安全
好好笑!太好笑了,positive,positive,1.0,2,0.287677,2,0,0,0,好笑 | 太好
南無阿彌陀佛,neutral,neutral,0.0,0,0.0,0,0,0,0,
群組每天早午晚安 無聊,negative,negative,1.0,1,-0.167959,0,1,0,0,無聊
這個時間蠻有趣的(?,neutral,positive,1.0,2,0.612875,2,0,0,0,時間 | 有趣
每一年这几个月都很期待妈祖的影片 每一年看都很感动 希望小象顺顺利利,positive,positive,1.0,2,0.365165,2,0,0,0,期待 | 希望
留言刷一排 沒有j小姐就是爽,negative,negative,0.8,2,-0.092187,1,0,4,0,沒有 | 小姐
"這是假的泰國影片?竟然沒有介紹被污名化的神聖植物「大麻」,太讓人失望了,不得不退訂",negative,positive,0.555556,6,0.390158,4,5,0,0,竟然 | 沒有 | 介紹 | 神聖 | 失望 | 不得不
原來以前沒有 我想說二十年前去好無聊 竟然不知道要下水看海龜 XDDDD,negative,negative,0.5,5,-0.405149,1,3,4,0,原來 | 沒有 | 無聊 | 竟然 | 不知道
這外套讓我渾身不舒服....,negative,negative,1.0,1,-0.002374,0,1,0,0,不舒服
老板在调侃你,negative,neutral,0.0,0,0.0,0,0,0,0,
还记得阿拉斯加切菜菜吗,neutral,neutral,0.0,0,0.0,0,0,0,0,
恭喜 新婚愉快,positive,positive,1.0,2,1.012641,2,0,0,0,恭喜 | 愉快
你也在說,neutral,neutral,0.0,0,0.0,0,0,0,0,
超級恭喜哥哥跟姊姊的要幸福快樂美滿順遂喔,positive,positive,1.0,6,2.784768,6,0,0,0,超級 | 恭喜 | 幸福 | 快樂 | 美滿 | 順遂
"北歐人有外星人的基因,所以特別漂亮及帥氣。",positive,positive,0.6,2,0.384804,3,0,2,0,特別 | 漂亮
越南其實很安全喔!,neutral,positive,1.0,2,0.381137,2,0,0,0,其實 | 安全
討論一下台灣媒體亂象跟詐騙猖獗,negative,negative,0.9,3,-0.425,1,9,0,0,下台 | 亂象 | 猖獗
恭喜恭喜,positive,positive,1.0,2,1.3,2,0,0,0,恭喜 | 恭喜
誠心祝福幸福,positive,positive,1.0,3,1.367935,3,0,0,0,誠心 | 祝福 | 幸福
不客氣,neutral,negative,1.0,1,-0.186585,0,1,0,0,不客氣
昨天我晚上在手机上玩还红了2个,neutral,neutral,0.0,0,0.0,0,0,0,0,
@wugupet,positive,neutral,0.0,0,0.0,0,0,0,0,
超喜歡,positive,positive,1.0,1,0.875,1,0,0,0,喜歡
(*๓ ́๓),positive,neutral,0.0,0,0.0,0,0,0,0,
海島女巫是搬家 原本在靠近衫福那 ~ 很舒服的小地方,positive,positive,0.727273,5,0.332245,2,1,8,0,海島 | 女巫 | 搬家 | 靠近 | 舒服
"IAN和Jeannie是否該 ""跳出不要再一起拍片的舒適圈了""?????????????????????????????????????? 舉例來說:我想看全英文的電影~結果出現有中文的片段然後占了2/3~大家做何感想???????????? 我再舉一個例子:我跟我老公約會~結果出現第三者來當電燈泡~大家做何感想????????????????? 這頻道是DODOMEN不是DODOMEN AND WOMEN OKOKOKOKOKOKOKOKOKOKOKOKOKOKOK JENNIE可以自己搞一個頻道和PODCAST還是好好當幕後都行~真的可以減少不必要的出現~感恩感恩 我講不好聽的~其他工作人員都可以乖乖在幕後~為何要獨厚JENNIE一個人???????同家公司還要不平等對待!? 在沙咪位置做好該做的事很難?!好好想想吧~DODOMEN!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油:"") 這已經不是跳脫不跳脫舒適圈了~JENNIE已經給我感覺有點""鳩佔鵲巢""了!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 忠言逆耳~真的大家一起討論和思考!!!!!!!如果只是單純要口水戰真的免了~感恩感恩:""> BTW~DO式圈的JENNIE出鏡率已經也算很高~到底為何主頻道還要有JENNIE????????!!!!!!!!!!!!!吼!!!!!!!!!!!!!",negative,positive,1.0,62,3.832415,51,10,24,0,跳出 | 不要 | 舒適 | 舉例 | 想看 | 電影 | 出現 | 出現 | 不是 | 可以 | 自己 | 還是 | 幕後 | 可以 | 減少 | 不必要 | 出現 | 感恩 | 感恩 | 不好 | 都可以 | 幕後 | 還要 | 不平等 | 做好 | 很難 | 好想 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 加油 | 已經 | 不是 | 跳脫 | 跳脫 | 舒適 | 已經 | 感覺 | 思考 | 只是 | 單純 | 口水 | 感恩 | 感恩 | 已經 | 很高 | 還要
@graceliu5955 現在也再罵阿哈哈哈哈,negative,positive,1.0,2,0.14436,2,0,0,0,哈哈 | 哈哈
微型屋啊不就是貨櫃屋嗎,neutral,negative,1.0,1,-0.297414,0,1,0,0,不就
新年快樂,positive,positive,1.0,1,0.661696,1,0,0,0,快樂
"清邁現在很多詐騙、綁架,需要注意安全",negative,positive,0.75,4,0.481828,3,1,0,0,很多 | 綁架 | 要注意 | 安全
我也一直以為是,neutral,positive,1.0,2,0.308447,2,0,0,0,一直 | 以為
然後補一下家裡地基,neutral,positive,1.0,1,0.078323,1,0,0,0,地基
Swede is so sweet.,positive,neutral,0.0,0,0.0,0,0,0,0,
超級漂亮,positive,positive,1.0,2,0.138636,2,0,0,0,超級 | 漂亮
可去塞班島,neutral,neutral,0.0,0,0.0,0,0,0,0,
對呀 倡導在安全範圍跳脫舒適圈 誰都可以來傳達這個理念也是他們的初衷,positive,positive,0.97243,7,0.97243,7,0,4,0,倡導 | 安全 | 跳脫 | 舒適 | 都可以 | 傳達 | 也是
哇~,positive,neutral,0.0,0,0.0,0,0,0,0,
瑞典人長得好漂亮,positive,positive,1.0,1,0.071019,1,0,0,0,漂亮
"這集真的重點好多 長照部分可以理解美華和美菁內心的想法,很多時候都不是對錯問題 然後比起美萍和李爸(或者弦爸+弦媽)來,我覺得弦爸和美菁要來欸,然後恩+弦或底迪來主持 雖然是藉著料理為由,讓大家更認識恩家的長輩 但我覺得可以坐下來好好聊天,又或者是長輩們講話太勁爆了,我才覺得要坐下來好好聊才聽得過癮",neutral,positive,1.0,16,3.204942,15,2,17,0,重點 | 可以 | 理解 | 內心 | 很多 | 都不是 | 對錯 | 問題 | 覺得 | 主持 | 認識 | 覺得 | 可以 | 勁爆 | 覺得 | 得過
日本賀滋縣,neutral,neutral,0.0,0,0.0,0,0,0,0,
哈哈哈哈哈整個很吉祥,neutral,positive,1.0,3,0.31936,3,0,0,0,哈哈 | 哈哈 | 吉祥
11:11 是在告白嗎?蠻過期的情操的,neutral,positive,1.0,1,0.55,1,0,0,0,告
"那些亂丟垃圾的人, 都是垃圾,,,",negative,negative,0.666667,3,-0.4625,1,2,0,0,亂丟垃圾 | 都是 | 垃圾
"我真是不解,部分人在那邊挑撥離間,搞得他們拆夥、有人受不了霸凌離職的結果,就滿足你們那變態心理了是吧? 在那邊說廢話,還不如加入會員給錢,有錢好辦事啊!你們錢給的多到他們所有收入,就都聽你們的",negative,negative,0.433926,13,-0.433926,8,12,8,0,不解 | 挑撥離間 | 搞得 | 受不了 | 離職 | 滿足 | 變態 | 廢話 | 還不如 | 加入 | 有錢 | 所有 | 收入
飯店變酒店,positive,neutral,0.0,0,0.0,0,0,0,0,
"粉紅泡泡是怎樣甘草糖可以選外面包覆優格外衣的,味道會柔和些~",neutral,positive,0.720155,5,0.720155,4,1,6,0,是怎樣 | 可以 | 格外 | 味道 | 柔和
"友達以上,戀人未滿",neutral,positive,1.0,1,0.036996,1,0,0,0,以上
請問Celine有在別的國家約砲過的經驗嗎,neutral,positive,0.75,1,0.070244,1,0,3,0,經驗
喜歡上班族快閃系列,positive,positive,1.0,1,0.875,1,0,0,0,喜歡
@elephantgogo原來如此 算是特殊時期的開銷,neutral,positive,0.571429,4,0.177704,2,1,4,0,原來 | 如此 | 算是 | 特殊
"周四的早上,看到林宣的影片,真的好愜意~祝宣宣聖誕節快樂明年我也有要去台灣環島啦~",positive,positive,1.0,4,1.233534,8,0,4,0,看到 | 愜意 | 快樂 | 也有
許願 : 姐夫 PK 大姐,neutral,neutral,0.0,0,0.0,0,0,0,0,
"高雄很無聊。新高雄車站的道路規劃非常莫名其妙,越搞越難開。現在有了輕軌跟汽車爭道,更難開車。捷運也是完全沒什麼人在用。晚上沒地方去。美食又普通。公共建設都是現代感參雜著高雄獨有的俗味........一言難盡.....夏天還要怕登革熱。高雄的美反而是比較郊區的地方,就是比較少人為干預的地方,越多規畫就越醜,就是舊高雄縣的區域都比較好。看看愛河,高雄最重要的河流,入口處居然是規劃成這副德性。如果這種A級地段在國外,早規劃成非常美的區域。幾十年來就多幾個現代感的建設。河的兩側真的醜到不行。不是為了家人早搬別的城市了。最想試台中台北。 ....我好像只是顧著婊自己的家鄉。你們的影片很好看,謝謝!",negative,positive,0.69883,37,0.69883,33,10,23,3,無聊 | 新高 | 規劃 | 非常 | 莫名其妙 | 更難 | 也是 | 完全沒 | 公共 | 建設 | 都是 | 獨有 | 難盡 | 還要 | 登革 | 反而 | 比較少 | 人為 | 干預 | 規畫 | 比較好 | 最重要 | 居然 | 規劃 | 德性 | 規劃 | 非常 | 建設 | 不行 | 不是 | 為了 | 最想 | 好像 | 只是 | 自己 | 很好 | 謝謝
"是很想去,但距離太遠,費用太貴 XD",negative,positive,1.0,1,0.176112,1,0,0,0,很想
這集好險有字幕 講台語溜又講了好多難的,positive,neutral,0.0,0,0.0,0,0,0,0,
"建議帶一整隻威出去就準備個酒嘴,可以比較好控制流量,也可以分享給其他一起嗨的路人甲乙丙丁當交朋友的敲門磚~",positive,positive,0.684932,8,0.684932,8,0,12,0,建議 | 準備 | 可以 | 比較好 | 控制 | 也可以 | 分享 | 敲門
欸不是 結尾以為是開玩笑結果嗯?真的結束了太突然了吧,neutral,negative,0.725393,5,-0.725393,4,1,7,0,不是 | 以為 | 開玩笑 | 結束 | 突然
看到她開心真的很感動,positive,positive,0.60572,3,0.60572,6,0,4,0,看到 | 開心 | 感動
女人會單獨長旅大都是祈盼有桃花,negative,neutral,0.75,3,0.0,0,3,9,0,單獨 | 大都 | 桃花
要翹課 我頂多看課堂 像這種不看課堂翹的 要嘛學霸 要嘛學渣,neutral,negative,1.0,1,0.0,0,4,0,0,翹課
"身為老三上有大姐二哥非常明白阿姨的苦楚(拍背,強迫剪髮那趴+1 只要聽到剪頭髮馬上掉淚 沒事了 我們都長大了⋯ Ps客家孫女代表",neutral,positive,0.625,12,0.22469,8,1,15,0,身為 | 二哥 | 非常 | 明白 | 強迫 | 剪髮 | 只要 | 馬上 | 掉淚 | 沒事 | 都長 | 代表
19:01 身材好好啊,positive,neutral,0.0,0,0.0,0,0,0,0,
"我今年 36 歲,一直都很喜歡日本,每年都去好幾次。 甚至有個夢想是搬到日本長期生活,看完這部片之後真的很感動,有點想不顧一切,前往日本追夢。 但夢想很美好,現實卻很殘酷。 網路上也有許多人分享,真正來到日本長期生活並且開始工作之後讓當初的夢想整個破碎,最常聽到的就是需要""閱讀空氣""、""垃圾分類"" 之類的。 希望也有機會能聽聽看導演分享在日本長期生活時,有遇到哪些不適應的部份。",neutral,positive,1.0,29,4.907168,37,5,15,0,一直 | 很喜歡 | 甚至 | 夢想 | 搬到 | 長期 | 感動 | 不顧一切 | 前往 | 夢想 | 美好 | 現實 | 殘酷 | 也有 | 許多 | 分享 | 真正 | 長期 | 開始 | 夢想 | 破碎 | 垃圾 | 希望 | 也有 | 機會 | 分享 | 長期 | 遇到 | 不適
有懶人包嗎,neutral,negative,1.0,1,0.0,0,5,0,0,懶人
"謝謝這麼無知的YT,做這麼無知又沒水準的示範,居然公開欺負野生動物,小孩子良好教育!馬上退訂",negative,positive,0.5,11,0.429986,11,7,4,0,謝謝 | 無知 | 無知 | 沒水準 | 示範 | 居然 | 公開 | 欺負 | 生動 | 良好教育 | 馬上
自己去開個頻道不行嗎?,negative,negative,0.8,2,-0.346588,0,1,4,0,自己 | 不行
超沒水準的!破壞生態及動物!而且事後你們有沒有把垃圾帶走!抵制沒道德網紅,negative,negative,0.723525,8,-0.723525,3,5,4,0,沒水準 | 破壞 | 生態 | 沒有 | 垃圾 | 帶走 | 抵制 | 道德
恭喜,neutral,positive,1.0,1,0.65,1,0,0,0,恭喜
