text,true_label,predicted_label,prediction_confidence
想請教rose spa那間是可以用什麼方式預約的,positive,neutral,0.999782
Luke 同學怎麼有點貌似金宣虎,positive,neutral,0.99973
耶!歡迎來我家鄉~推坑成功就是開心!,neutral,positive,0.999706
為什麼這麼害怕洋叫妳老婆?,positive,neutral,0.999706
"不但喜欢你的影片,还喜欢你的穿搭。以后可以分享一下吗?眼镜和帽子都超好看。",neutral,positive,0.999666
沒有接吻照 我真的不信耶,negative,neutral,0.999665
"我也第五年了,今年路上沒有遇到小象",positive,neutral,0.999665
店家长得真好。祝愿素食情侣早生天才后代。,neutral,positive,0.999648
"原來、了解!太好了!以前有碰到過,但都不知道該怎麼辦...",neutral,positive,0.999643
剪輯片師還是很神! 可惜拍攝的味道差了一味道 剛開始時雙C的感覺! 我也不知道怎摸說. 不是美景不美~是當初雙C的雀躍愉快的拍攝心情! 讓我快樂的觀賞,negative,positive,0.999629
昨天不小心在臉書偷跑已經看了一次現在再看一次 互鼻開頭是喉嚨卡住嗎哈哈哈哈,positive,neutral,0.999625
"支持 Jeannie 沒做錯事,請大家不要網路霸凌,都是DoDo團隊的人,有他們才會有好影片看,不喜歡就按叉叉不要看就好,我反而覺得Ian一個人偏乾需要E人跟他互動,Ian支持他入鏡頭,我就支持,因為我是Do粉,我要一起散播愛",neutral,positive,0.999625
"支持 Jeannie 沒做錯事,請大家不要網路霸凌,都是DoDo團隊的人,有他們才會有好影片看,不喜歡就按叉叉不要看就好,我反而覺得Ian一個人偏乾需要E人跟他互動,Ian支持他入鏡頭,我就支持,因為我是Do粉,我要一起散播愛",negative,positive,0.999625
"起若雅大推,很多菜都好吃",neutral,positive,0.999621
Eric 好像瘦了,positive,neutral,0.99962
恭喜,neutral,positive,0.999586
真的 每次 “欸”的影片 我都在外面又哭又笑 尤其是有一次吃飯 看恩妃被求婚 我真的被別人一直關注禮,neutral,positive,0.999578
"哇,感謝分享,竺玉Yang吃的那碗是白醬嗎?料好滿滿滿喔!住台中真幸福,Hao的笑聲好可愛",neutral,positive,0.999572
之後該不會出一集歷史上的嬰兒食品,positive,neutral,0.999562
雙寶在就一直需要調整畫面,positive,neutral,0.999558
歡迎大家加入團購Line群 每個月都有抽大獎呢,neutral,positive,0.999557
"小象黑发更好看!这边的香蕉饮食有趣哎,还包肉",neutral,positive,0.999545
去阿根廷要去找Messi的雕像啊,positive,neutral,0.999488
"這就是過程,真的很感觸",neutral,positive,0.999487
被現在的荷蘭統治我覺得OK 祝荷蘭祖國永遠昌盛,negative,positive,0.999468
"您這是台客劇場,所以不只是台灣劇場,所以不管去那您都是台客",neutral,positive,0.999451
立馬分享給台中的家人,positive,neutral,0.999448
先留言,positive,neutral,0.999437
好期待有一天可以出現哆啦A夢版。 那就真的是美夢成真了,neutral,positive,0.999418
"導演謝謝你的影片,不過這次字幕錯誤蠻多的,不知道是否是透過AI翻錄的?",negative,neutral,0.999404
"真的很不容易,還好日本與台灣很近,簽證等待時間一到就可以再到日本,所以其實也不用太久,讓小孩好好學習,也是為了他們好",neutral,positive,0.999383
@秦文茹 他們家的食材都很天然啊!辣度什麼有要調整都可以溝通喔,positive,neutral,0.999373
"建議帶一整隻威出去就準備個酒嘴,可以比較好控制流量,也可以分享給其他一起嗨的路人甲乙丙丁當交朋友的敲門磚~",positive,neutral,0.999365
@millyyang1010豁然開朗~,neutral,positive,0.999365
敲碗小阿姨 一定很精彩,neutral,positive,0.999364
"為什麼中國大陸就在台灣的隔壁很多台灣大V都很有默契的在旅遊地點的選擇上把中國大陸當作空氣沒看到,我覺得中國大陸的張家界、從藏青鐵路到拉薩、西安的古城、兵馬俑很多都非常得棒、現在中國大陸還有全中國棋盤式的高鐵網、移動上非常方便",neutral,positive,0.999271
人類欠它們太多了⋯⋯,positive,negative,0.999257
一定要好好打扮的哈哈哈,neutral,positive,0.999249
剪輯很舒服很喜歡這種風格 也謝謝介紹我們導遊的資訊 越南還是需要導遊 有的地方價格真的太高,positive,negative,0.999244
"聽說自從使用社群媒體後,不丹人也變得沒那麼快樂了......快樂是比較出來的。",negative,neutral,0.999242
越南其實很安全喔!,neutral,positive,0.999235
amazing talker?,positive,neutral,0.999133
"身為老三上有大姐二哥非常明白阿姨的苦楚(拍背,強迫剪髮那趴+1 只要聽到剪頭髮馬上掉淚 沒事了 我們都長大了⋯ Ps客家孫女代表",neutral,positive,0.999118
大爆氣!,negative,positive,0.999115
"吃過新航跟長榮的龍蝦,認真覺得新航的好吃非常多,下次搭要記得網路選餐",positive,neutral,0.999098
2026年還能聽到SISTAR的Shake It 二代粉感動ᅲᅲ,neutral,positive,0.999091
我覺得畫面調整這個梗不用玩那麼多次~建議可以再多想一點過場的方式,negative,neutral,0.999087
我们有同款小红帽。很遗憾没有在狂欢节碰到Eric。,positive,neutral,0.999049
我们有同款小红帽。很遗憾没有在狂欢节碰到Eric。,positive,neutral,0.999049
"不要這樣說,建議反方向想多少人是DoDomen一開始創頻道跟追~大家都是愛DDM的,只是各有期待",neutral,positive,0.999045
